1	3	N1	DPF	14210	πύλαις	πυλαις	πυλαις	πύλη				PU/LAIS	PU/LH
1	3	RD	GSF	11	αὐτῆς	αὐτης	αυτης	αὐτός				AU)TH=S	AU)TO/S
1	3	N3E	GPM	10050	πηχῶν	πηχων	πηχων	πῆχυς				PHXW=N	PH=XUS
1	3	M		7	ἑκατὸν	ἑκατον	εκατον	ἑκατόν				E(KATO\N	E(KATO/N
1	3	C		4	καὶ	και	και	καί				KAI\	KAI/
1	3	RA	ASN	10	τὸ	το	το	ὁ				TO\	O(
1	3	N3E	ASN	17666	πλάτος	πλατος	πλατος	πλάτος				PLA/TOS	PLA/TOS
1	3	RD	GSF	11	αὐτῆς	αὐτης	αυτης	αὐτός				AU)TH=S	AU)TO/S
1	3	VAI	AAI3S	633473	ἐθεμελίωσεν	ἐθεμελιωσεν	εθεμελιωσεν	θεμελιόω				E)QEMELI/WSEN	QEMELIO/W
1	3	P		8	εἰς	εἰς	εις	εἰς				EI)S	EI)S
1	3	N3E	APM	9986	πήχεις	πηχεις	πηχεις	πῆχυς				PH/XEIS	PH=XUS
1	3	M		7	ἑξήκοντα	ἑξηκοντα	εξηκοντα	ἑξήκοντα				E(CH/KONTA	E(CH/KONTA
1	4	C		4	καὶ	και	και	καί				KAI\	KAI/
1	4	VAI	AAI3S	633473	ἐποίησεν	ἐποιησεν	εποιησεν	ποιέω				E)POI/HSEN	POIE/W
1	4	RA	APF	10	τὰς	τας	τας	ὁ				TA\S	O(
1	4	N1	APF	14082	πύλας	πυλας	πυλας	πύλη				PU/LAS	PU/LH
1	4	RD	GSF	11	αὐτῆς	αὐτης	αυτης	αὐτός				AU)TH=S	AU)TO/S
1	4	N1	APF	14082	πύλας	πυλας	πυλας	πύλη				PU/LAS	PU/LH
1	4	V1	PMPAPF	7222721	διεγειρομένας	διεγειρομενας	διεγειρομενας	διεγείρω				DIEGEIROME/NAS	E)GEI/RW         DIA
1	4	P		8	εἰς	εἰς	εις	εἰς				EI)S	EI)S
