1	1d	RD	NSN	11	τοῦτο	τουτο	τουτο	οὗτος				TOU=TO	OU(=TOS
1	1d	RD	GSM	11	αὐτοῦ	αὐτου	αυτου	αὐτός				AU)TOU=	AU)TO/S
1	1d	RA	NSN	10	τὸ	το	το	ὁ				TO\	O(
1	1d	N2N	NSN	17538	ἐνύπνιον	ἐνυπνιον	ενυπνιον	ἐνύπνιον				E)NU/PNION	E)NU/PNION
1	1d	C		4	καὶ	και	και	καί			·	KAI\	KAI/
1	1d	I		6	ἰδοὺ	ἰδου	ιδου	ἰδού				I)DOU\	I)DOU/
1	1d	N1	NPF	13954	φωναὶ	φωναι	φωναι	φωνή				FWNAI\	FWNH/
1	1d	C		4	καὶ	και	και	καί				KAI\	KAI/
1	1d	N2	NSM	9346	θόρυβος	θορυβος	θορυβος	θόρυβος				QO/RUBOS	QO/RUBOS
1	1d	N1	NPF	13954	βρονταὶ	βρονται	βρονται	βροντή			,	BRONTAI\	BRONTH/
1	1d	C		4	καὶ	και	και	καί				KAI\	KAI/
1	1d	N2	NSM	9346	σεισμός	σεισμος	σεισμος	σεισμός				SEISMO/S	SEISMO/S
1	1d	N2	NSM	9346	τάραχος	ταραχος	ταραχος	τάραχος			,	TA/RAXOS	TA/RAXOS
1	1d	P		8	ἐπὶ	ἐπι	επι	ἐπί				E)PI\	E)PI/
1	1d	RA	GSF	10	τῆς	της	της	ὁ				TH=S	O(
1	1d	N1	GSF	13634	γῆς	γης	γης	γῆ				GH=S	GH=
1	1e	C		4	καὶ	και	και	καί			·	KAI\	KAI/
1	1e	I		6	ἰδοὺ	ἰδου	ιδου	ἰδού				I)DOU\	I)DOU/
1	1e	M		7	δύο	δυο	δυο	δύο				DU/O	DU/O
1	1e	N3	NPM	9858	δράκοντες	δρακοντες	δρακοντες	δράκων				DRA/KONTES	DRA/KWN
1	1e	A1	NPM	9859	μεγάλοι	μεγαλοι	μεγαλοι	μέγας				MEGA/LOI	ME/GAS
1	1e	A1	NPM	9859	ἕτοιμοι	ἑτοιμοι	ετοιμοι	ἑτοίμος				E(/TOIMOI	E(/TOIMOS
1	1e	VBI	AAI3P	895617	προῆλθον	προηλθον	προηλθον	προέρχομαι				PROH=LQON	E)/RXOMAI        PRO
1	1e	A1A	NPM	9859	ἀμφότεροι	ἀμφοτεροι	αμφοτεροι	ἀμφότερος				A)MFO/TEROI	A)MFO/TEROI
1	1e	VB	AAN	306049	παλαίειν	παλαιειν	παλαιειν	παλαίω				PALAI/EIN	PALAI/W
1	1e	C		4	καὶ	και	και	καί			,	KAI\	KAI/
1	1e	VBI	AMI3S	637569	ἐγένετο	ἐγενετο	εγενετο	γίνομαι				E)GE/NETO	GI/GNOMAI
1	1e	RD	GPM	11	αὐτῶν	αὐτων	αυτων	αὐτός				AU)TW=N	AU)TO/S
1	1e	N1	NSF	13442	φωνὴ	φωνη	φωνη	φωνή				FWNH\	FWNH/
1	1e	A1	NSF	13443	μεγάλη	μεγαλη	μεγαλη	μέγας				MEGA/LH	ME/GAS
1	1f	C		4	καὶ	και	και	καί			·	KAI\	KAI/
1	1f	RA	DSF	10	τῇ	τη	τη	ὁ				TH=|	O(
1	1f	N1	DSF	13698	φωνῇ	φωνη	φωνη	φωνή				FWNH=|	FWNH/
1	1f	RD	GPM	11	αὐτῶν	αὐτων	αυτων	αὐτός				AU)TW=N	AU)TO/S
1	1f	VCI	API3S	641665	ἡτοιμάσθη	ἡτοιμασθη	ητοιμασθη	ἑτοιμάζω				H(TOIMA/SQH	E(TOIMA/ZW
1	1f	A3	NSN	17539	πᾶν	παν	παν	πᾶς				PA=N	PA=S
1	1f	N3E	NSN	17538	ἔθνος	ἐθνος	εθνος	ἔθνος				E)/QNOS	E)/QNOS
1	1f	P		8	εἰς	εἰς	εις	εἰς				EI)S	EI)S
1	1f	N2	ASM	9474	πόλεμον	πολεμον	πολεμον	πόλεμος				PO/LEMON	PO/LEMOS
1	1f	C		4	ὥστε	ὡστε	ωστε	ὥστε				W(/STE	W(/STE
1	1f	VA	AAN	306049	πολεμῆσαι	πολεμησαι	πολεμησαι	πολεμέω				POLEMH=SAI	POLEME/W
1	1f	A1A	GPM	10051	δικαίων	δικαιων	δικαιων	δίκαιος				DIKAI/WN	DI/KAIOS
1	1f	N3E	ASN	17666	ἔθνος	ἐθνος	εθνος	ἔθνος				E)/QNOS	E)/QNOS
1	1g	C		4	καὶ	και	και	καί			.	KAI\	KAI/
1	1g	I		6	ἰδοὺ	ἰδου	ιδου	ἰδού				I)DOU\	I)DOU/
1	1g	N1A	NSF	13442	ἡμέρα	ἡμερα	ημερα	ἡμέρα				H(ME/RA	H(ME/RA
1	1g	N3E	GSN	17730	σκότους	σκοτους	σκοτους	σκότος				SKO/TOUS	SKO/TOS
1	1g	C		4	καὶ	και	και	καί				KAI\	KAI/
1	1g	N2	GSM	9538	γνόφου	γνοφου	γνοφου	γνόφος				GNO/FOU	GNO/FOS
1	1g	N3I	NSF	13442	θλῖψις	θλιψις	θλιψις	θλῖψις			,	QLI=YIS	QLI=YIS
1	1g	C		4	καὶ	και	και	καί				KAI\	KAI/
1	1g	N1A	NSF	13442	στενοχωρία	στενοχωρια	στενοχωρια	στενοχωρία				STENOXWRI/A	STENOXWRI/A
1	1g	N3I	NSF	13442	κάκωσις	κακωσις	κακωσις	κάκωσις			,	KA/KWSIS	KA/KWSIS
1	1g	C		4	καὶ	και	και	καί				KAI\	KAI/
1	1g	N2	NSM	9346	τάραχος	ταραχος	ταραχος	τάραχος				TA/RAXOS	TA/RAXOS
1	1g	A1P	NSM	9347	μέγας	μεγας	μεγας	μέγας				ME/GAS	ME/GAS
1	1g	P		8	ἐπὶ	ἐπι	επι	ἐπί				E)PI\	E)PI/
1	1g	RA	GSF	10	τῆς	της	της	ὁ				TH=S	O(
1	1g	N1	GSF	13634	γῆς	γης	γης	γῆ				GH=S	GH=
1	1h	C		4	καὶ	και	και	καί			·	KAI\	KAI/
1	1h	VQI	API3S	641665	ἐταράχθη	ἐταραχθη	εταραχθη	ταράσσω				E)TARA/XQH	TARA/SSW
1	1h	A1A	NSN	17539	δίκαιον	δικαιον	δικαιον	δίκαιος				DI/KAION	DI/KAIOS
1	1h	A3	NSN	17539	πᾶν	παν	παν	πᾶς				PA=N	PA=S
1	1h	N3E	NSN	17538	ἔθνος	ἐθνος	εθνος	ἔθνος				E)/QNOS	E)/QNOS
1	1h	V2	PMPNPM	5060033	φοβούμενοι	φοβουμενοι	φοβουμενοι	φοβέω				FOBOU/MENOI	FOBE/W
1	1h	RA	APN	10	τὰ	τα	τα	ὁ				TA\	O(
1	1h	RD	GPM	11	ἑαυτῶν	ἑαυτων	εαυτων	ἑαυτοῦ				E(AUTW=N	E(AUTOU=
1	1h	A1	APN	18179	κακὰ	κακα	κακα	κακός				KAKA\	KAKO/S
1	1h	C		4	καὶ	και	και	καί				KAI\	KAI/
