1	4	A3	APM	9987	πάντας	παντας	παντας	πᾶς				PA/NTAS	PA=S
1	4	RA	APM	10	τοὺς	τους	τους	ὁ				TOU\S	O(
1	4	V2	PAPAPM	5121473	κατοικοῦντας	κατοικουντας	κατοικουντας	κατοικέω				KATOIKOU=NTAS	OI)KE/W          KATA
1	4	N	ASF	13570	Ιερουσαλημ	ιερουσαλημ	ιερουσαλημ	Ἱερουσαλήμ				*IEROUSALHM	*I)EROUSALH/M
1	4	C		4	καὶ	και	και	καί				KAI\	KAI/
1	4	VF2	FAI1S	600193	ἐξαρῶ	ἐξαρω	εξαρω	ἐξαίρω				E)CARW=	AI)/RW           E)K
1	4	P		8	ἐκ	ἐκ	εκ	ἐκ				E)K	E)K
1	4	RA	GSM	10	τοῦ	του	του	ὁ				TOU=	O(
1	4	N2	GSM	9538	τόπου	τοπου	τοπου	τόπος				TO/POU	TO/POS
1	4	RD	GSM	11	τούτου	τουτου	τουτου	οὗτος				TOU/TOU	OU(=TOS
1	4	RA	APN	10	τὰ	τα	τα	ὁ				TA\	O(
1	4	N3M	APN	18178	ὀνόματα	ὀνοματα	ονοματα	ὄνομα				O)NO/MATA	O)/NOMA
1	4	RA	GSF	10	τῆς	της	της	ὁ				TH=S	O(
1	4	N	GSF	13634	Βααλ	βααλ	βααλ	Βάαλ				*BAAL	*BAAL
1	4	C		4	καὶ	και	και	καί				KAI\	KAI/
1	4	RA	APN	10	τὰ	τα	τα	ὁ				TA\	O(
1	4	N3M	APN	18178	ὀνόματα	ὀνοματα	ονοματα	ὄνομα				O)NO/MATA	O)/NOMA
1	4	RA	GPM	10	τῶν	των	των	ὁ				TW=N	O(
1	4	N3V	GPM	10050	ἱερέων	ἱερεων	ιερεων	ἱερεύς				I(ERE/WN	I(EREU/S
1	5	C		4	καὶ	και	και	καί				KAI\	KAI/
1	5	RA	APM	10	τοὺς	τους	τους	ὁ				TOU\S	O(
