1	4	VF	FAI1P	862337	ἀνοικοδομήσωμεν	ἀνοικοδομησωμεν	ανοικοδομησωμεν	ἀνοικοδομέω				A)NOIKODOMH/SWMEN	OI)KODOME/W      A)NA
1	4	RA	APF	10	τὰς	τας	τας	ὁ				TA\S	O(
1	4	N2	APF	14082	ἐρήμους	ἐρημους	ερημους	ἔρημος			·	E)RH/MOUS	E)/RHMOS
1	4	RD	APN	11	τάδε	ταδε	ταδε	ὅδε				TA/DE	O(/DE
1	4	V1	PAI3S	631937	λέγει	λεγει	λεγει	λέγω				LE/GEI	LE/GW
1	4	N2	NSM	9346	κύριος	κυριος	κυριος	κύριος				KU/RIOS	KU/RIOS
1	4	N3R	NSM	9346	παντοκράτωρ	παντοκρατωρ	παντοκρατωρ	παντοκράτωρ				PANTOKRA/TWR	PANTOKRA/TWR
1	4	RD	NPM	11	Αὐτοὶ	αὐτοι	αυτοι	αὐτός				AU)TOI\	AU)TO/S
1	4	VF	FAI3P	895105	οἰκοδομήσουσιν	οἰκοδομησουσιν	οικοδομησουσιν	οἰκοδομέω			,	OI)KODOMH/SOUSIN	OI)KODOME/W
1	4	C		4	καὶ	και	και	καί				KAI\	KAI/
1	4	RP	NS	13	ἐγὼ	ἐγω	εγω	ἐγώ				E)GW\	E)GW/
1	4	VF	FAI1S	600193	καταστρέψω	καταστρεψω	καταστρεψω	καταστρέφω			·	KATASTRE/YW	STRE/FW          KATA
1	4	C		4	καὶ	και	και	καί				KAI\	KAI/
1	4	VC	FPI3S	641153	ἐπικληθήσεται	ἐπικληθησεται	επικληθησεται	ἐπικαλέω				E)PIKLHQH/SETAI	KALE/W           E)PI
1	4	RD	DPM	11	αὐτοῖς	αὐτοις	αυτοις	αὐτός				AU)TOI=S	AU)TO/S
1	4	N2N	APN	18178	ὅρια	ὁρια	ορια	ὅριον				O(/RIA	O(/RIOS
1	4	N1A	GSF	13634	ἀνομίας	ἀνομιας	ανομιας	ἀνομία				A)NOMI/AS	A)NOMI/A
1	4	C		4	καὶ	και	και	καί				KAI\	KAI/
1	4	N2	NSM	9346	λαὸς	λαος	λαος	λαός				LAO\S	LAO/S
1	4	P		8	ἐφ	ἐφ	εφ	ἐπί				E)F'	E)PI/
1	4	RR	ASM	14	ὃν	ὁν	ον	ὅς				O(\N	O(/S
